1;good label?;;;;;
D:\dataset\v6\input\ROI_0000_01_04__S2A_MSIL2A_20181208T153611_R068_T17MPP_20201008T082324.tif;1;950;;;;
D:\dataset\v6\input\ROI_0000_02_04__S2B_MSIL2A_20190422T153629_R068_T17MPP_20201105T153234.tif;1;;;;;
D:\dataset\v6\input\ROI_0000_03_04__S2A_MSIL2A_20190427T153621_R068_T17MPP_20201105T200754.tif;1;;;;;
D:\dataset\v6\input\ROI_0000_05_03__S2A_MSIL2A_20210126T153621_R068_T17MPP_20210127T003912.tif;0;;;;;
D:\dataset\v6\input\ROI_0000_06_04__S2A_MSIL2A_20210416T153611_R068_T17MPP_20210417T063115.tif;1;;;;;
D:\dataset\v6\input\ROI_0000_09_04__S2A_MSIL2A_20211003T153621_R068_T17MPP_20211004T005845.tif;1;;;;;
D:\dataset\v6\input\ROI_0000_15_04__S2B_MSIL2A_20220426T153609_R068_T17MPP_20220427T131407.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_01_02__S2A_MSIL2A_20180412T153621_R068_T17MPP_20201012T212253.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_02_03__S2A_MSIL2A_20180919T153611_R068_T17MPP_20201009T024611.tif;0;;;;;
D:\dataset\v6\input\ROI_0001_03_02__S2B_MSIL2A_20181213T153609_R068_T17MPP_20201008T095322.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_03_04__S2B_MSIL2A_20181213T153609_R068_T17MPP_20201008T095322.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_04_02__S2A_MSIL2A_20181228T153611_R068_T17MPP_20201008T134223.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_04_04__S2A_MSIL2A_20181228T153611_R068_T17MPP_20201008T134223.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_09_01__S2B_MSIL2A_20200327T153619_R068_T17MPP_20201027T115557.tif;0;;;;;
D:\dataset\v6\input\ROI_0001_10_01__S2A_MSIL2A_20201107T153621_R068_T17MPP_20201108T161151.tif;0;;;;;
D:\dataset\v6\input\ROI_0001_11_02__S2B_MSIL2A_20210220T153619_R068_T17MPP_20210221T001037.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_13_02__S2A_MSIL2A_20210426T153621_R068_T17MPP_20210427T082940.tif;1;;;;;
D:\dataset\v6\input\ROI_0001_14_02__S2B_MSIL2A_20210511T153619_R068_T17MPP_20210513T111307.tif;1;;;;;
D:\dataset\v6\input\ROI_0002_01_02__S2B_MSIL2A_20180308T153609_R068_T17MPP_20201013T081341.tif;0;;;;;
D:\dataset\v6\input\ROI_0002_03_01__S2B_MSIL2A_20180417T153619_R068_T17MPP_20201012T233241.tif;0;;;;;
D:\dataset\v6\input\ROI_0003_01_03__S2A_MSIL2A_20181101T155221_R111_T17MNQ_20210517T042818.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_01_04__S2A_MSIL2A_20181101T155221_R111_T17MNQ_20210517T042818.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_02_04__S2B_MSIL2A_20181206T155219_R111_T17MNQ_20201008T075943.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_03_03__S2B_MSIL2A_20190326T155219_R111_T17MNQ_20201007T110416.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_03_04__S2B_MSIL2A_20190326T155219_R111_T17MNQ_20201007T110416.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_04_03__S2A_MSIL2A_20190520T155231_R111_T17MNQ_20201006T162945.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_04_04__S2A_MSIL2A_20190520T155231_R111_T17MNQ_20201006T162945.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_05_03__S2B_MSIL2A_20200827T155229_R111_T17MNQ_20200907T083806.tif;1;;;;;
D:\dataset\v6\input\ROI_0003_06_04__S2B_MSIL2A_20211230T155219_R111_T17MNQ_20230128T112202.tif;1;;;;;
D:\dataset\v6\input\ROI_0004_03_03__S2B_MSIL2A_20200913T153619_R068_T17MPP_20201101T164928.tif;1;;;;;
D:\dataset\v6\input\ROI_0004_09_03__S2B_MSIL2A_20220307T153619_R068_T17MPP_20220308T063122.tif;0;;;;;
D:\dataset\v6\input\ROI_0005_02_04__S2A_MSIL2A_20190626T153621_R068_T17MPP_20201006T063535.tif;0;;;;;
D:\dataset\v6\input\ROI_0005_03_04__S2B_MSIL2A_20190711T153629_R068_T17MPP_20201005T124133.tif;0;;;;;
D:\dataset\v6\input\ROI_0005_04__S2A_MSIL2A_20210225T153621_R068_T17MPP_20210226T043319.tif;1;;;;;
D:\dataset\v6\input\ROI_0005_06_02__S2B_MSIL2A_20200516T153619_R068_T17MPP_20201027T071056.tif;0;;;;;
D:\dataset\v6\input\ROI_0005_09_01__S2B_MSIL2A_20201222T153619_R068_T17MNP_20201225T061210.tif;1;;;;;
D:\dataset\v6\input\ROI_0005_10_02__S2B_MSIL2A_20210131T153619_R068_T17MPP_20210205T222145.tif;0;;;;;
D:\dataset\v6\input\ROI_0007_02_02__S2A_MSIL2A_20180512T153621_R068_T17MPP_20201012T085729.tif;0;;;;;
D:\dataset\v6\input\ROI_0008_03_01__S2B_MSIL2A_20190412T153629_R068_T17MPP_20201007T012422.tif;0;;;;;
D:\dataset\v6\input\ROI_0008_04_01__S2B_MSIL2A_20190929T153619_R068_T17MPP_20201004T183537.tif;0;;;;;
D:\dataset\v6\input\ROI_0008_08_01__S2B_MSIL2A_20210210T153619_R068_T17MPP_20210212T014005.tif;0;;;;;
D:\dataset\v6\input\ROI_0010_01_01__S2A_MSIL2A_20180422T153621_R068_T17MPP_20201013T011555.tif;1;;;;;
D:\dataset\v6\input\ROI_0010_03_01__S2B_MSIL2A_20200605T153619_R068_T17MPP_20200826T072451.tif;0;;;;;
D:\dataset\v6\input\ROI_0011_01__S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2A_MSIL2A_20180214T155221_R111_T17MNQ_20201013T211128.tif;1;;;;;
D:\dataset\v6\input\ROI_0011_01__S2A_MSIL2A_20180224T155221_R111_T17MNQ_20201014T005430.tif;1;;;;;
