roi;file;img;url;group;final_mask;to_timeseries;obs;date;;
ROI_0001_04;D:\scburning\ROI_0001_04\S2B_MSIL2A_20220416T153619_R068_T17MPP_20220417T045551.tif;D:\length_box\ROI_0001_04\S2B_MSIL2A_20220416T153619_R068_T17MPP_20220417T045551.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0001_04__S2B_MSIL2A_20220416T153619_R068_T17MPP_20220417T045551;Lenght Box;0;0;-;16/04/2022;;103
ROI_0005_04;D:\scburning\ROI_0005_04\S2A_MSIL2A_20210225T153621_R068_T17MPP_20210226T043319.tif;D:\length_box\ROI_0005_04\S2A_MSIL2A_20210225T153621_R068_T17MPP_20210226T043319.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0005_04__S2A_MSIL2A_20210225T153621_R068_T17MPP_20210226T043319;Lenght Box;1;1;nubes;25/02/2021;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856;Lenght Box;1;1;-;6/11/2017;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20180214T155221_R111_T17MNQ_20201013T211128.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20180214T155221_R111_T17MNQ_20201013T211128.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20180214T155221_R111_T17MNQ_20201013T211128;Lenght Box;1;1;-;14/02/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20180219T155219_R111_T17MNQ_20201013T231600.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20180219T155219_R111_T17MNQ_20201013T231600.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20180219T155219_R111_T17MNQ_20201013T231600;Lenght Box;1;1;-;19/02/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20180224T155221_R111_T17MNQ_20201014T005430.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20180224T155221_R111_T17MNQ_20201014T005430.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20180224T155221_R111_T17MNQ_20201014T005430;Lenght Box;1;0;-;24/02/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814;Lenght Box;1;0;-;1/03/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20180420T155219_R111_T17MNQ_20201013T003835.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20180420T155219_R111_T17MNQ_20201013T003835.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20180420T155219_R111_T17MNQ_20201013T003835;Lenght Box;0;0;-;20/04/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646;Lenght Box;1;1;-;9/07/2018; ;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20180927T155219_R111_T17MNQ_20201009T053858.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20180927T155219_R111_T17MNQ_20201009T053858.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20180927T155219_R111_T17MNQ_20201009T053858;Lenght Box;1;0;-;27/09/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211;Lenght Box;1;0;-;11/12/2018;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20190624T155229_R111_T17MNQ_20201006T055803.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20190624T155229_R111_T17MNQ_20201006T055803.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20190624T155229_R111_T17MNQ_20201006T055803;Lenght Box;1;0;-;24/06/2019;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129;Lenght Box;1;1;-;24/07/2019;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810;Lenght Box;1;0;-;9/02/2020;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659.tif;D:\length_box\ROI_0011_01\S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2B_MSIL2A_20200219T155219_R111_T17MNQ_20200930T020659;Lenght Box;1;0;-;19/02/2020;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20200305T155221_R111_T17MNQ_20200928T171715.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20200305T155221_R111_T17MNQ_20200928T171715.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20200305T155221_R111_T17MNQ_20200928T171715;Lenght Box;0;0;-;5/03/2020;;
ROI_0011_01;D:\scburning\ROI_0011_01\S2A_MSIL2A_20200703T155231_R111_T17MNQ_20200825T013427.tif;D:\length_box\ROI_0011_01\S2A_MSIL2A_20200703T155231_R111_T17MNQ_20200825T013427.png;http://127.0.0.1:5000/segmentation/?image_id=ROI_0011_01__S2A_MSIL2A_20200703T155231_R111_T17MNQ_20200825T013427;Lenght Box;1;1;-;3/07/2020;;
