roi,file,burning_pixels,ha,group
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20170929T153609_R068_T17MPP_20210202T114722.tif,401.0,4.01,Lenght Box
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20171019T153609_R068_T17MPP_20201015T010102.tif,1843.0,18.43,Lenght Box
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20190112T153619_R068_T17MPP_20201008T010302.tif,2137.0,21.37,Lenght Box
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20190221T153619_R068_T17MPP_20201007T191810.tif,703.0,7.03,Lenght Box
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20210111T153619_R068_T17MPP_20210112T041632.tif,2186.0,21.86,Lenght Box
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20210302T153619_R068_T17MPP_20210303T043147.tif,421.0,4.21,Lenght Box
ROI_0005_04,D:\scburning\ROI_0005_04\S2A_MSIL2A_20210307T153621_R068_T17MPP_20210308T023626.tif,401.0,4.01,Lenght Box
ROI_0005_04,D:\scburning\ROI_0005_04\S2B_MSIL2A_20210809T153619_R068_T17MPP_20210810T042147.tif,662.0,6.62,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20171101T155209_R111_T17MNQ_20201014T175648.tif,2160.0,21.6,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20171106T155221_R111_T17MNQ_20201014T182856.tif,1134.0,11.34,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180219T155219_R111_T17MNQ_20201013T231600.tif,338.0,3.38,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20180704T155221_R111_T17MNQ_20201011T115127.tif,1371.0,13.71,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180709T155219_R111_T17MNQ_20201011T135646.tif,1411.0,14.11,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180828T155209_R111_T17MNQ_20201110T120001.tif,742.0,7.42,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180917T155219_R111_T17MNQ_20201009T021200.tif,2299.0,22.99,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20181211T155211_R111_T17MNQ_20201008T091211.tif,460.0,4.6,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20190301T155221_R111_T17MNQ_20201030T042826.tif,1107.0,11.07,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20190624T155229_R111_T17MNQ_20201006T055803.tif,365.0,3.65,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.tif,735.0,7.35,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20200728T155229_R111_T17MNQ_20200817T225204.tif,373.0,3.73,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.tif,808.0,8.08,Lenght Box
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20210213T155219_R111_T17MNQ_20210215T000848.tif,950.0,9.5,Lenght Box
