roi,file,burning_pixels,ha,group
ROI_0005_04,D:\scburning\ROI_0005_04\S2A_MSIL2A_20210225T153621_R068_T17MPP_20210226T043319.tif,187.0,1.87,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180619T155219_R111_T17MNQ_20201012T000819.tif,229.0,2.29,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20190311T155221_R111_T17MNQ_20201007T053109.tif,122.0,1.22,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20190604T155229_R111_T17MNQ_20201005T221024.tif,227.0,2.27,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.tif,142.0,1.42,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20190813T155229_R111_T17MNQ_20201005T000333.tif,230.0,2.3,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20191221T155219_R111_T17MNQ_20201003T075954.tif,154.0,1.54,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20200404T155221_R111_T17MNQ_20200924T232845.tif,124.0,1.24,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20200703T155231_R111_T17MNQ_20200825T013427.tif,117.0,1.17,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20210325T155219_R111_T17MNQ_20210326T073600.tif,130.0,1.3,Lower Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20220124T155221_R111_T17MNQ_20220125T034401.tif,105.0,1.05,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20171012T155209_R111_T17MNQ_20201019T213523.tif,149.0,1.49,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20180130T155219_R111_T17MNQ_20201014T101506.tif,210.0,2.1,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.tif,126.0,1.26,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.tif,257.0,2.57,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20190604T155229_R111_T17MNQ_20201005T221024.tif,266.0,2.66,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20191012T155219_R111_T17MNQ_20201004T013804.tif,123.0,1.23,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2A_MSIL2A_20191216T155221_R111_T17MNQ_20201003T054034.tif,178.0,1.78,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20200310T155219_R111_T17MNQ_20201005T034802.tif,196.0,1.96,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20210213T155219_R111_T17MNQ_20210215T000848.tif,123.0,1.23,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20210404T155219_R111_T17MNQ_20210405T095214.tif,153.0,1.53,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20210424T155219_R111_T17MNQ_20210425T201823.tif,119.0,1.19,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2A_MSIL2A_20210916T155221_R111_T17MNQ_20210917T050656.tif,127.0,1.27,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20211130T155219_R111_T17MNQ_20211201T064217.tif,104.0,1.04,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2B_MSIL2A_20220218T155219_R111_T17MNQ_20220225T024253.tif,140.0,1.4,Lower Whisker
ROI_0011_02,D:\scburning\ROI_0011_02\S2A_MSIL2A_20220812T155231_R111_T17MNQ_20220813T044428.tif,160.0,1.6,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20171201T155209_R111_T17MNQ_20201014T113759.tif,176.0,1.76,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.tif,265.0,2.65,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20180301T155209_R111_T17MNQ_20201013T051814.tif,186.0,1.86,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20180331T155219_R111_T17MNQ_20201013T172443.tif,155.0,1.55,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20180505T155221_R111_T17MNQ_20201012T060723.tif,133.0,1.33,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20180902T155221_R111_T17MNQ_20201011T073521.tif,185.0,1.85,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20190301T155221_R111_T17MNQ_20201030T042826.tif,120.0,1.2,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20190311T155221_R111_T17MNQ_20201007T053109.tif,252.0,2.52,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20190724T155229_R111_T17MNQ_20201005T191129.tif,181.0,1.81,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20190902T155229_R111_T17MNQ_20201004T083448.tif,116.0,1.16,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20200209T155219_R111_T17MNQ_20201001T131810.tif,202.0,2.02,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20201031T155231_R111_T17MNQ_20201102T060657.tif,154.0,1.54,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20210109T155221_R111_T17MNQ_20210110T034817.tif,143.0,1.43,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20210114T155219_R111_T17MNQ_20210122T091309.tif,191.0,1.91,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2A_MSIL2A_20210208T155221_R111_T17MNQ_20210209T091947.tif,145.0,1.45,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20210213T155219_R111_T17MNQ_20210215T000848.tif,112.0,1.12,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20210305T155219_R111_T17MNQ_20210306T163941.tif,184.0,1.84,Lower Whisker
ROI_0011_03,D:\scburning\ROI_0011_03\S2B_MSIL2A_20221006T155219_R111_T17MNQ_20221007T095049.tif,202.0,2.02,Lower Whisker
