roi,file,burning_pixels,ha,group
ROI_0001_04,D:\scburning\ROI_0001_04\S2A_MSIL2A_20170805T153621_R068_T17MPP_20210210T195353.tif,5391.0,53.91,Upper Whisker
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20181213T153609_R068_T17MPP_20201008T095322.tif,9743.0,97.43,Upper Whisker
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20190820T153629_R068_T17MPP_20201005T025133.tif,7994.0,79.94,Upper Whisker
ROI_0001_04,D:\scburning\ROI_0001_04\S2B_MSIL2A_20210312T153619_R068_T17MPP_20210313T191647.tif,3370.0,33.7,Upper Whisker
ROI_0005_04,D:\scburning\ROI_0005_04\S2B_MSIL2A_20201122T153619_R068_T17MPP_20201123T142616.tif,2464.0,24.64,Upper Whisker
ROI_0005_04,D:\scburning\ROI_0005_04\S2B_MSIL2A_20201202T153619_R068_T17MPP_20201203T201103.tif,3980.0,39.8,Upper Whisker
ROI_0005_04,D:\scburning\ROI_0005_04\S2B_MSIL2A_20210131T153619_R068_T17MPP_20210205T222145.tif,4296.0,42.96,Upper Whisker
ROI_0005_04,D:\scburning\ROI_0005_04\S2A_MSIL2A_20210416T153611_R068_T17MPP_20210417T063115.tif,2756.0,27.56,Upper Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20170818T155221_R111_T17MNQ_20210201T045642.tif,3625.0,36.25,Upper Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180130T155219_R111_T17MNQ_20201014T101506.tif,6975.0,69.75,Upper Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2B_MSIL2A_20180209T155219_R111_T17MNQ_20201026T000228.tif,3535.0,35.35,Upper Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20180803T155221_R111_T17MNQ_20201010T203309.tif,3056.0,30.56,Upper Whisker
ROI_0011_01,D:\scburning\ROI_0011_01\S2A_MSIL2A_20180922T155221_R111_T17MNQ_20201009T034358.tif,5228.0,52.28,Upper Whisker
